userid,modulename,PreLearn,Learning,PostLearning
2388,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2388,Problems Using Conservation of Mechanical Energy,NF,N,EF
2388,Problems with Two Types of Potential Energy,NF,B,BF
2388,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2388,More mechanical energy problems,NF,B,BP
2389,Kinetic Energy,NF,N,EP
2389,Work by a constant force,NF,N,BF
2389,Work and Kinetic Energy,NF,N,EP
2389,Potential Energy,NF,N,NP
2389,When is Mechanical Energy Conserved,NF,N,EF
2389,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2389,Problems Using Conservation of Mechanical Energy,NF,N,EP
2389,Problems with Two Types of Potential Energy,NP,NA,NA
2389,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2389,More mechanical energy problems,NP,NA,NA
2390,Kinetic Energy,NF,B,EP
2390,Work by a constant force,NF,N,BF
2390,Potential Energy,Other_F,NA,NA
2390,When is Mechanical Energy Conserved,NF,N,NF
2390,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2390,Problems Using Conservation of Mechanical Energy,NF,B,NF
2390,Problems with Two Types of Potential Energy,Other_F,NA,NA
2390,Mechanical Energy and Non-Conservative Work,NF,N,NP
2390,More mechanical energy problems,NF,B,BF
2391,Kinetic Energy,NF,N,EP
2391,Work by a constant force,NF,N,BP
2391,Work and Kinetic Energy,NF,N,NF
2391,Potential Energy,NF,N,NP
2391,When is Mechanical Energy Conserved,NF,B,BF
2391,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2391,Problems Using Conservation of Mechanical Energy,NF,N,EP
2391,Problems with Two Types of Potential Energy,NF,N,BF
2391,Mechanical Energy and Non-Conservative Work,NF,N,NF
2391,More mechanical energy problems,NF,N,EF
2392,Kinetic Energy,NF,N,EP
2392,Work by a constant force,NF,N,BF
2392,Potential Energy,NF,N,NP
2392,When is Mechanical Energy Conserved,BF,N,NP
2392,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2392,Problems Using Conservation of Mechanical Energy,NF,N,EP
2392,Problems with Two Types of Potential Energy,NF,N,EF
2392,Mechanical Energy and Non-Conservative Work,NF,N,EP
2392,More mechanical energy problems,NF,N,EP
2397,Kinetic Energy,NF,N,EP
2397,Work by a constant force,NF,N,BP
2397,Potential Energy,NF,B,NF
2397,When is Mechanical Energy Conserved,NF,N,EP
2397,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2397,Problems Using Conservation of Mechanical Energy,NF,N,EP
2397,Problems with Two Types of Potential Energy,NP,NA,NA
2397,Mechanical Energy and Non-Conservative Work,NF,N,NP
2397,More mechanical energy problems,NF,N,NP
2398,Kinetic Energy,Other_F,NA,NA
2398,Work by a constant force,NF,N,NP
2398,Work and Kinetic Energy,NP,NA,NA
2398,Potential Energy,NF,N,NP
2398,When is Mechanical Energy Conserved,NF,B,EP
2398,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2398,Problems with Two Types of Potential Energy,Other_P,NA,NA
2398,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2398,More mechanical energy problems,Other_P,NA,NA
2400,Kinetic Energy,NF,N,EP
2400,Work by a constant force,NF,N,BP
2400,Work and Kinetic Energy,NP,NA,NA
2400,Potential Energy,NF,N,NP
2400,When is Mechanical Energy Conserved,NF,N,NP
2400,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2400,Problems Using Conservation of Mechanical Energy,NF,N,EF
2400,Problems with Two Types of Potential Energy,NP,NA,NA
2400,Mechanical Energy and Non-Conservative Work,NF,N,NF
2400,More mechanical energy problems,NF,N,NP
2409,Kinetic Energy,NP,NA,NA
2409,Work by a constant force,BP,NA,NA
2409,Work and Kinetic Energy,NP,NA,NA
2409,Potential Energy,NP,NA,NA
2409,Simple Application of Conservation of Mechanical Energy,BP,NA,NA
2409,Problems Using Conservation of Mechanical Energy,NF,N,NA
2409,Problems with Two Types of Potential Energy,Other_F,NA,NA
2409,Mechanical Energy and Non-Conservative Work,BF,B,NF
2409,More mechanical energy problems,NF,B,BF
2414,Kinetic Energy,NF,N,EP
2414,Work by a constant force,NF,N,BP
2414,Work and Kinetic Energy,NP,NA,NA
2414,Potential Energy,NF,N,NP
2414,When is Mechanical Energy Conserved,NF,B,NF
2414,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2414,Problems Using Conservation of Mechanical Energy,NF,N,EF
2414,Problems with Two Types of Potential Energy,BF,B,NF
2414,Mechanical Energy and Non-Conservative Work,NF,N,NP
2414,More mechanical energy problems,BF,N,NF
2416,Kinetic Energy,Other_F,NA,NA
2416,Work by a constant force,NP,NA,NA
2416,Work and Kinetic Energy,Other_F,NA,NA
2416,Potential Energy,NF,N,NF
2416,When is Mechanical Energy Conserved,NF,N,EP
2416,Simple Application of Conservation of Mechanical Energy,NF,B,NP
2416,Problems Using Conservation of Mechanical Energy,NF,N,EF
2416,Problems with Two Types of Potential Energy,NF,B,BP
2416,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2416,More mechanical energy problems,BP,NA,NA
2420,Kinetic Energy,NF,N,EP
2420,Work by a constant force,NF,N,BP
2420,Work and Kinetic Energy,NP,NA,NA
2420,Potential Energy,NF,B,NF
2420,When is Mechanical Energy Conserved,Other_NA,NA,NA
2420,Simple Application of Conservation of Mechanical Energy,NF,B,NP
2420,Problems Using Conservation of Mechanical Energy,NF,N,BF
2420,Problems with Two Types of Potential Energy,BP,NA,NA
2420,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2420,More mechanical energy problems,BP,NA,NA
2422,Kinetic Energy,NF,N,NP
2422,Work by a constant force,NF,N,NP
2422,Work and Kinetic Energy,NP,NA,NA
2422,Potential Energy,NF,N,NP
2422,When is Mechanical Energy Conserved,NF,N,NP
2422,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2422,Problems Using Conservation of Mechanical Energy,NF,N,NA
2422,Problems with Two Types of Potential Energy,Other_NA,NA,NA
2422,Mechanical Energy and Non-Conservative Work,Other_NA,NA,NA
2422,More mechanical energy problems,Other_P,NA,NA
2424,Kinetic Energy,NP,NA,NA
2424,Work by a constant force,Other_P,NA,NA
2424,Work and Kinetic Energy,NP,NA,NA
2424,Potential Energy,NP,NA,NA
2424,When is Mechanical Energy Conserved,NF,N,NA
2424,Simple Application of Conservation of Mechanical Energy,NF,N,NF
2424,Problems Using Conservation of Mechanical Energy,NF,B,EF
2424,Problems with Two Types of Potential Energy,NP,NA,NA
2424,Mechanical Energy and Non-Conservative Work,NF,N,EP
2424,More mechanical energy problems,NF,N,BF
2425,Kinetic Energy,NP,NA,NA
2425,Work by a constant force,NF,N,EP
2425,Work and Kinetic Energy,NP,NA,NA
2425,Potential Energy,Other_P,NA,NA
2425,When is Mechanical Energy Conserved,NF,B,NA
2425,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2425,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2425,Problems with Two Types of Potential Energy,NP,NA,NA
2425,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2425,More mechanical energy problems,NF,N,EP
2435,Kinetic Energy,NF,N,NP
2435,Work by a constant force,BF,N,BP
2435,Work and Kinetic Energy,BF,N,NP
2435,Potential Energy,NF,N,NP
2435,When is Mechanical Energy Conserved,NF,N,NP
2435,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2435,Problems Using Conservation of Mechanical Energy,NF,N,NF
2435,Problems with Two Types of Potential Energy,BF,N,EP
2435,Mechanical Energy and Non-Conservative Work,NF,N,NF
2435,More mechanical energy problems,Other_P,NA,NA
2442,Kinetic Energy,NF,N,EF
2442,Work by a constant force,NF,N,NP
2442,Work and Kinetic Energy,NF,N,EP
2442,Potential Energy,NP,NA,NA
2442,When is Mechanical Energy Conserved,NF,N,EF
2442,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2442,Problems Using Conservation of Mechanical Energy,NF,N,EF
2442,Problems with Two Types of Potential Energy,NF,N,EF
2442,Mechanical Energy and Non-Conservative Work,NF,N,EP
2442,More mechanical energy problems,NF,N,EP
2443,Kinetic Energy,Other_NA,NA,NA
2443,Work by a constant force,NF,B,NP
2443,Work and Kinetic Energy,NP,NA,NA
2443,Potential Energy,NP,NA,NA
2443,When is Mechanical Energy Conserved,NF,N,BF
2443,Simple Application of Conservation of Mechanical Energy,Other_P,NA,NA
2443,Problems Using Conservation of Mechanical Energy,BF,N,NA
2443,Problems with Two Types of Potential Energy,NP,NA,NA
2443,Mechanical Energy and Non-Conservative Work,NF,N,BP
2443,More mechanical energy problems,NF,N,BF
2446,Kinetic Energy,NF,N,NP
2446,Work by a constant force,NP,NA,NA
2446,Work and Kinetic Energy,NF,N,NP
2446,Potential Energy,NF,B,NA
2446,When is Mechanical Energy Conserved,NF,N,NF
2446,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2446,Problems Using Conservation of Mechanical Energy,NF,B,NF
2446,Problems with Two Types of Potential Energy,Other_P,NA,NA
2446,Mechanical Energy and Non-Conservative Work,BF,B,BF
2446,More mechanical energy problems,BF,B,BF
2448,Kinetic Energy,NF,N,EP
2448,Work by a constant force,NF,N,EF
2448,Potential Energy,NF,N,NF
2448,When is Mechanical Energy Conserved,BF,N,NP
2448,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2448,Problems Using Conservation of Mechanical Energy,BF,N,BF
2448,Problems with Two Types of Potential Energy,NF,N,BP
2448,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2448,More mechanical energy problems,Other_P,NA,NA
2458,Kinetic Energy,Other_F,NA,NA
2458,Work by a constant force,NF,N,BP
2458,Work and Kinetic Energy,NF,N,NP
2458,Potential Energy,NP,NA,NA
2458,When is Mechanical Energy Conserved,NF,N,NP
2458,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2458,Problems Using Conservation of Mechanical Energy,NF,N,NA
2458,Problems with Two Types of Potential Energy,NP,NA,NA
2458,Mechanical Energy and Non-Conservative Work,NF,N,NP
2458,More mechanical energy problems,BF,B,BP
2461,Kinetic Energy,NF,N,EP
2461,Work by a constant force,NF,N,BP
2461,Work and Kinetic Energy,NP,NA,NA
2461,Potential Energy,NF,N,EF
2461,When is Mechanical Energy Conserved,NF,B,NP
2461,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2461,Problems Using Conservation of Mechanical Energy,NF,N,EF
2461,Problems with Two Types of Potential Energy,NP,NA,NA
2461,Mechanical Energy and Non-Conservative Work,Other_F,NA,NA
2461,More mechanical energy problems,NF,N,BP
2477,Kinetic Energy,NP,NA,NA
2477,Work by a constant force,NP,NA,NA
2477,Work and Kinetic Energy,Other_P,NA,NA
2477,Potential Energy,Other_P,NA,NA
2477,When is Mechanical Energy Conserved,Other_F,NA,NA
2477,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2477,Problems Using Conservation of Mechanical Energy,NF,N,EF
2477,Problems with Two Types of Potential Energy,NP,NA,NA
2477,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2477,More mechanical energy problems,Other_NA,NA,NA
2485,Kinetic Energy,NP,NA,NA
2485,Work by a constant force,NF,B,EP
2485,Work and Kinetic Energy,NF,B,EP
2485,Potential Energy,NF,N,NP
2485,When is Mechanical Energy Conserved,NF,N,NF
2485,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2485,Problems Using Conservation of Mechanical Energy,NF,N,EP
2485,Problems with Two Types of Potential Energy,NP,NA,NA
2485,Mechanical Energy and Non-Conservative Work,NF,N,NP
2485,More mechanical energy problems,NF,N,EP
2492,Kinetic Energy,NF,B,NF
2492,Work by a constant force,Other_F,NA,NA
2492,Work and Kinetic Energy,NF,B,EF
2492,Potential Energy,BF,B,EP
2492,When is Mechanical Energy Conserved,NF,B,NP
2492,Simple Application of Conservation of Mechanical Energy,BP,NA,NA
2492,Problems Using Conservation of Mechanical Energy,BF,B,EF
2492,Problems with Two Types of Potential Energy,NF,B,EP
2492,Mechanical Energy and Non-Conservative Work,BP,NA,NA
2492,More mechanical energy problems,BF,B,NP
2495,Kinetic Energy,NP,NA,NA
2495,Work by a constant force,NF,N,BP
2495,Work and Kinetic Energy,NF,N,EP
2495,Potential Energy,NF,N,NP
2495,When is Mechanical Energy Conserved,NF,N,NF
2495,Simple Application of Conservation of Mechanical Energy,NF,N,BP
2495,Problems Using Conservation of Mechanical Energy,NF,N,EF
2495,Problems with Two Types of Potential Energy,NF,N,BF
2495,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2495,More mechanical energy problems,NP,NA,NA
2496,Kinetic Energy,NF,N,EP
2496,Work by a constant force,NF,N,BP
2496,Work and Kinetic Energy,BF,N,EP
2496,Potential Energy,NF,N,NP
2496,When is Mechanical Energy Conserved,NF,N,NF
2496,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2496,Problems Using Conservation of Mechanical Energy,NF,N,EF
2496,Problems with Two Types of Potential Energy,NF,N,BP
2496,Mechanical Energy and Non-Conservative Work,BF,N,NP
2496,More mechanical energy problems,NP,NA,NA
2498,Kinetic Energy,Other_NA,NA,NA
2498,Work by a constant force,Other_F,NA,NA
2498,Potential Energy,NF,N,NP
2498,When is Mechanical Energy Conserved,NF,N,NF
2498,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2498,Problems Using Conservation of Mechanical Energy,NF,N,EF
2498,Problems with Two Types of Potential Energy,BP,NA,NA
2498,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2498,More mechanical energy problems,NF,N,EP
2502,Kinetic Energy,NP,NA,NA
2502,Work by a constant force,NP,NA,NA
2502,Work and Kinetic Energy,NP,NA,NA
2502,Potential Energy,Other_NA,NA,NA
2502,When is Mechanical Energy Conserved,NF,N,NP
2502,Simple Application of Conservation of Mechanical Energy,NF,B,NP
2502,Problems Using Conservation of Mechanical Energy,NF,N,EF
2502,Problems with Two Types of Potential Energy,NF,N,EP
2502,Mechanical Energy and Non-Conservative Work,NF,N,EP
2502,More mechanical energy problems,NF,N,EP
2504,Kinetic Energy,NF,N,EP
2504,Work by a constant force,NF,B,BP
2504,Work and Kinetic Energy,NP,NA,NA
2504,Potential Energy,Other_F,NA,NA
2504,When is Mechanical Energy Conserved,NP,NA,NA
2504,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2504,Problems Using Conservation of Mechanical Energy,NF,B,NF
2504,Problems with Two Types of Potential Energy,BP,NA,NA
2504,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2504,More mechanical energy problems,Other_F,NA,NA
2506,Kinetic Energy,NF,B,EP
2506,Work by a constant force,NF,N,BP
2506,Work and Kinetic Energy,NP,NA,NA
2506,Potential Energy,NF,B,NF
2506,When is Mechanical Energy Conserved,NF,N,NP
2506,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2506,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
2506,Problems with Two Types of Potential Energy,NP,NA,NA
2506,Mechanical Energy and Non-Conservative Work,NF,B,NF
2506,More mechanical energy problems,Other_P,NA,NA
2507,Kinetic Energy,NF,N,NP
2507,Work by a constant force,NF,N,BP
2507,Work and Kinetic Energy,NF,N,EP
2507,Potential Energy,NF,N,NF
2507,When is Mechanical Energy Conserved,NF,N,NP
2507,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2507,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
2507,Problems with Two Types of Potential Energy,NP,NA,NA
2507,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2507,More mechanical energy problems,NP,NA,NA
2508,Kinetic Energy,NF,N,EF
2508,Work by a constant force,NF,N,BP
2508,Work and Kinetic Energy,BP,NA,NA
2508,Potential Energy,BF,N,NP
2508,When is Mechanical Energy Conserved,Other_F,NA,NA
2508,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2508,Problems Using Conservation of Mechanical Energy,NF,N,EF
2508,Problems with Two Types of Potential Energy,NF,N,NA
2508,Mechanical Energy and Non-Conservative Work,BF,N,EF
2508,More mechanical energy problems,BF,N,NF
2512,Kinetic Energy,Other_F,NA,NA
2512,Work by a constant force,BP,NA,NA
2512,Work and Kinetic Energy,NF,N,EP
2512,Potential Energy,NF,B,NP
2512,When is Mechanical Energy Conserved,NF,B,NP
2512,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2512,Problems Using Conservation of Mechanical Energy,Other_F,NA,NA
2512,Problems with Two Types of Potential Energy,Other_F,NA,NA
2512,Mechanical Energy and Non-Conservative Work,Other_NA,NA,NA
2512,More mechanical energy problems,Other_F,NA,NA
2513,Kinetic Energy,Other_NA,NA,NA
2513,Work by a constant force,NF,N,BP
2513,Work and Kinetic Energy,NP,NA,NA
2513,Potential Energy,NF,N,NP
2513,When is Mechanical Energy Conserved,Other_F,NA,NA
2513,Simple Application of Conservation of Mechanical Energy,NF,B,BP
2513,Problems with Two Types of Potential Energy,NF,B,EP
2513,Mechanical Energy and Non-Conservative Work,NF,N,NF
2513,More mechanical energy problems,BF,N,NF
2514,Kinetic Energy,NF,N,EP
2514,Work by a constant force,Other_F,NA,NA
2514,Work and Kinetic Energy,NP,NA,NA
2514,Potential Energy,Other_F,NA,NA
2514,When is Mechanical Energy Conserved,NF,N,NF
2514,Simple Application of Conservation of Mechanical Energy,NF,N,BF
2514,Problems Using Conservation of Mechanical Energy,NF,N,EF
2514,Problems with Two Types of Potential Energy,BF,N,EF
2514,Mechanical Energy and Non-Conservative Work,BF,N,BP
2514,More mechanical energy problems,BF,N,BF
2515,Kinetic Energy,NF,N,EP
2515,Work by a constant force,BF,N,BF
2515,Work and Kinetic Energy,BP,NA,NA
2515,Potential Energy,Other_NA,NA,NA
2515,When is Mechanical Energy Conserved,NF,N,BF
2515,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2515,Problems Using Conservation of Mechanical Energy,NF,N,NF
2515,Problems with Two Types of Potential Energy,Other_P,NA,NA
2515,Mechanical Energy and Non-Conservative Work,Other_P,NA,NA
2515,More mechanical energy problems,Other_P,NA,NA
2519,Kinetic Energy,NF,N,EP
2519,Work by a constant force,NF,N,NP
2519,Work and Kinetic Energy,NF,N,NP
2519,Potential Energy,NF,N,NF
2519,When is Mechanical Energy Conserved,NF,N,NP
2519,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2519,Problems Using Conservation of Mechanical Energy,NF,N,EP
2519,Problems with Two Types of Potential Energy,NF,N,NP
2519,Mechanical Energy and Non-Conservative Work,NF,N,NF
2519,More mechanical energy problems,NF,N,EF
2523,Kinetic Energy,NF,N,EP
2523,Work by a constant force,NF,N,NF
2523,Work and Kinetic Energy,NF,N,NF
2523,Potential Energy,NF,N,NF
2523,When is Mechanical Energy Conserved,NF,N,EF
2523,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2523,Problems Using Conservation of Mechanical Energy,NF,N,EP
2523,Problems with Two Types of Potential Energy,NP,NA,NA
2523,Mechanical Energy and Non-Conservative Work,NF,N,EP
2523,More mechanical energy problems,NF,N,NF
2529,Kinetic Energy,NF,N,EF
2529,Work by a constant force,NF,N,BP
2529,Work and Kinetic Energy,BF,N,EP
2529,Potential Energy,NP,NA,NA
2529,When is Mechanical Energy Conserved,NF,N,NF
2529,Simple Application of Conservation of Mechanical Energy,NF,N,NP
2529,Problems Using Conservation of Mechanical Energy,NF,N,NF
2529,Problems with Two Types of Potential Energy,NF,N,NF
2529,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2529,More mechanical energy problems,BF,N,NF
2532,Kinetic Energy,Other_P,NA,NA
2532,Work by a constant force,NF,N,BF
2532,Work and Kinetic Energy,NF,N,NP
2532,Potential Energy,Other_NA,NA,NA
2532,When is Mechanical Energy Conserved,NP,NA,NA
2532,Simple Application of Conservation of Mechanical Energy,NP,NA,NA
2532,Problems Using Conservation of Mechanical Energy,NP,NA,NA
2532,Problems with Two Types of Potential Energy,Other_P,NA,NA
2532,Mechanical Energy and Non-Conservative Work,NP,NA,NA
2532,More mechanical energy problems,Other_P,NA,NA
2534,Kinetic Energy,NF,N,EF
2534,Work by a constant force,NF,N,BP
2534,Work and Kinetic Energy,NP,NA,NA
2534,Potential Energy,NF,N,EP
2534,When is Mechanical Energy Conserved,NF,N,NF
